species,taxonomic_order,gestation_length,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
prionailurus_viverrinus,Carnivora,71.43,6278,10650,NA,Endotheliochorial,Labyrinthine
otocolobus_manul,Carnivora,72.13,5803.5,3500,NA,Endotheliochorial,Labyrinthine
lynx_canadensis,Carnivora,63,9782,9682.82,NA,Endotheliochorial,Labyrinthine
lynx_lynx,Carnivora,66.5,9782,21150,NA,Endotheliochorial,Labyrinthine
lynx_rufus,Carnivora,66,11801.67,9400,NA,Endotheliochorial,Labyrinthine
puma_concolor,Carnivora,92.3,8687,48000,30466.66667,Endotheliochorial,Labyrinthine
acinonyx_jubatus,Carnivora,90.12,7482.5,50577.92,NA,Endotheliochorial,Labyrinthine
caracal_caracal,Carnivora,73.96,7409.5,14000,NA,Endotheliochorial,Labyrinthine
leptailurus_serval,Carnivora,71.83,8395,11999.96,NA,Endotheliochorial,Labyrinthine
leopardus_pardalis,Carnivora,80.35,10293,10500,10466.92308,Endotheliochorial,Labyrinthine
leopardus_wiedii,Carnivora,81.26,8775.21,3600,2158.8,Endotheliochorial,Labyrinthine
leopardus_geoffroyi,Carnivora,74.78,8471.04,4000,NA,Endotheliochorial,Labyrinthine
panthera_leo,Carnivora,109,10950,149062,143000,Endotheliochorial,Labyrinthine
panthera_uncia,Carnivora,97.92,7738,47812.5,NA,Endotheliochorial,Labyrinthine
panthera_onca,Carnivora,100.75,10353.83,81150,58000,Endotheliochorial,Labyrinthine
panthera_tigris,Carnivora,105.19,9599.5,128800,131000,Endotheliochorial,Labyrinthine
neofelis_nebulosa,Carnivora,93.13,7227,19500,NA,Endotheliochorial,Labyrinthine
nandinia_binotata,Carnivora,64.83,7741.04,2167.2,NA,Endotheliochorial,Labyrinthine
equus_grevyi,Perissodactyla,405.71,11384.96,384000,NA,Epitheliochorial,Villous
equus_zebra,Perissodactyla,363.49,12118,296000,248100,Epitheliochorial,Villous
equus_hemionus,Perissodactyla,346,14162,230000,NA,Epitheliochorial,Villous
equus_kiang,Perissodactyla,304.4,14162,262500,NA,Epitheliochorial,Trabecular
diceros_bicornis,Perissodactyla,474,17973.21,995940.5,NA,Epitheliochorial,Villous
ceratotherium_simum,Perissodactyla,515,18250,2230000,NA,Epitheliochorial,Villous
rhinoceros_unicornis,Perissodactyla,479,17885,1600000,NA,Epitheliochorial,Villous
dicerorhinus_sumatrensis,Perissodactyla,236,12775,1260000,NA,Epitheliochorial,Villous
tapirus_terrestris,Perissodactyla,396.86,14454,225000,219500,Epitheliochorial,Trabecular
tapirus_pinchaque,Perissodactyla,393.99,10402.5,148950,NA,Epitheliochorial,Villous
tapirus_bairdii,Perissodactyla,400.84,10804,300000,NA,Epitheliochorial,Villous
tapirus_indicus,Perissodactyla,392,13322.5,296250,225000,Epitheliochorial,Villous
capra_falconeri,Artiodactyla,163.07,6971.5,41000,NA,Epitheliochorial,Villous
capra_cylindricornis,Artiodactyla,161,7373,50000,NA,Epitheliochorial,Villous
capra_ibex,Artiodactyla,169,8139.5,77000,NA,Epitheliochorial,Villous
capra_nubiana,Artiodactyla,169,8139.5,70523.41,NA,Epitheliochorial,Villous
hemitragus_jemlahicus,Artiodactyla,183,7957,35200,45000,Epitheliochorial,Villous
pseudois_nayaur,Artiodactyla,159.74,8760,50917.6,NA,Epitheliochorial,Villous
budorcas_taxicolor,Artiodactyla,235.6,7993.5,294515.3,NA,Epitheliochorial,Villous
oreamnos_americanus,Artiodactyla,182.62,7592,77227.7,NA,Epitheliochorial,Villous
ammotragus_lervia,Artiodactyla,151.81,7920.5,92500,NA,Epitheliochorial,Villous
ovis_vignei,Artiodactyla,158.89,8322,110000,NA,Epitheliochorial,Villous
