"species","taxonomic_order","litter_mass","longevity","body_mass_g","female_body_mass_g","invasiveness","interdigitation","relative_litter_mass","relative_litter_mass_female","litter_size","neonate_body_size"
"hylobates_lar","Primates",398.86,20805,6194.31,5340,"Hemochorial","Villous",0.0643913527091799,0.0746928838951311,1,398.86
"hystrix_africaeaustralis","Rodentia",641.739,8431.5,14936.02,,"Hemochorial","Labyrinthine",0.0429658637307663,,2.1,305.59
"inia_geoffrensis","Artiodactyla",6799.99,11424.5,98500,,"Epitheliochorial","Trabecular",0.0690354314720812,,1,6799.99
"jaculus_jaculus","Rodentia",6.48,2664.5,57.4,,"Hemochorial","Labyrinthine",0.112891986062718,,3.24,2
"kerodon_rupestris","Rodentia",125.3088,4708.5,875.5,,"Hemochorial","Labyrinthine",0.143128269560251,,1.52,82.44
"kobus_ellipsiprymnus","Artiodactyla",12600,11080.79,175333,,"Epitheliochorial","Villous",0.0718632544928793,,1.05,12000
"kobus_leche","Artiodactyla",5100,9271,91722.52,,"Epitheliochorial","Villous",0.0556024845370581,,1,5100
"lagostomus_maximus","Rodentia",392,3942,6392,,"Hemochorial","Labyrinthine",0.0613266583229036,,2,196
"lemmus_lemmus","Rodentia",19.9168,1213.63,68.81,68.6,"Hemochorial","Labyrinthine",0.289446301409679,0.290332361516035,5.12,3.89
"lemur_catta","Artiodactyla",84.138,13614.5,2555,2678,"Epitheliochorial","Villous",0.0329307240704501,0.0314182225541449,1.11,75.8
"leontopithecus_rosalia","Primates",101.1855,11534,623.51,,"Hemochorial","Trabecular",0.162283684303379,,1.95,51.89
"leopardus_pardalis","Carnivora",415,10293,10500,10466.92308,"Endotheliochorial","Labyrinthine",0.0395238095238095,0.0396487102110241,1.66,250
"leopardus_wiedii","Carnivora",236.13,8775.21,3600,2158.8,"Endotheliochorial","Labyrinthine",0.0655916666666667,0.10938021122846,1.5,157.42
"leptailurus_serval","Carnivora",596.9,8395,11999.96,,"Endotheliochorial","Labyrinthine",0.0497418324727749,,2.35,254
"leptonychotes_weddellii","Carnivora",27395.84,9125,410833.3,,"Endotheliochorial","Labyrinthine",0.06668359161733,,1,27395.84
"leptonycteris_nivalis","Chiroptera",7.8,3650,22.63,,"Endotheliochorial","Labyrinthine",0.344675209898365,,1,7.8
"leptonycteris_yerbabuenae","Chiroptera",7.1,3686.5,24.26,,"Endotheliochorial","Labyrinthine",0.292662819455894,,1,7.1
"lepus_americanus","Lagomorpha",231.3344,2920,1565.61,1167.3,"Hemochorial","Labyrinthine",0.147759914665849,0.198179045660927,3.41,67.84
"lobodon_carcinophaga","Carnivora",20000,14235,238333.3,,"Endotheliochorial","Labyrinthine",0.0839160956526008,,1,20000
"lontra_canadensis","Carnivora",362.9598,9855,8087.42,,"Endotheliochorial","Labyrinthine",0.0448795536771925,,2.67,135.94
"loris_tardigradus","Primates",15.07,7044.5,243.71,224.25,"Epitheliochorial","Villous",0.0618357884370768,0.0672017837235229,1.37,11
"loxodonta_africana","Proboscidea",105000,29200,4565000,2727333.333,"Endotheliochorial","Labyrinthine",0.0230010952902519,0.0384991444681617,1,105000
"lycaon_pictus","Carnivora",2230.875,6205,24249.99,,"Endotheliochorial","Labyrinthine",0.0919948832968591,,7.5,297.45
"lynx_canadensis","Carnivora",650.76,9782,9682.82,,"Endotheliochorial","Labyrinthine",0.0672076936264435,,3.19,204
"lynx_lynx","Carnivora",650.25,9782,21150,,"Endotheliochorial","Labyrinthine",0.0307446808510638,,2.25,289
