"species","gestation_length","longevity","invasiveness","interdigitation","taxonomic_order"
"muntiacus_reevesi",208.79,8468,"Epitheliochorial","Villous","Artiodactyla"
"mus_musculus",19.6,2190,"Hemochorial","Labyrinthine","Rodentia"
"mustela_putorius",41.49,5110,"Endotheliochorial","Labyrinthine","Carnivora"
"myocastor_coypus",131.86,4380,"Endotheliochorial","Labyrinthine","Carnivora"
"myodes_glareolus",20,1794.58,"Hemochorial","Labyrinthine","Rodentia"
"myodes_rutilus",23.71,1085.32,"Hemochorial","Labyrinthine","Rodentia"
"myoprocta_pratti",99.33,5402,"Hemochorial","Villous","Rodentia"
"myotis_lucifugus",57.4,12410,"Hemochorial","Labyrinthine","Chiroptera"
"myrmecophaga_tridactyla",184,11506.63,"Hemochorial","Trabecular","Pilosa"
"myzopoda_aurita",104.53,5044.91,"Endotheliochorial","Labyrinthine","Chiroptera"
"naemorhedus_goral",215,6916.75,"Epitheliochorial","Villous","Artiodactyla"
"nandinia_binotata",64.83,7741.04,"Endotheliochorial","Labyrinthine","Carnivora"
"nanger_dama",208,7044.5,"Epitheliochorial","Villous","Artiodactyla"
"nanger_granti",196,7190.5,"Epitheliochorial","Villous","Artiodactyla"
"nasalis_larvatus",167.16,9161.5,"Hemochorial","Trabecular","Primates"
"nasua_narica",77.92,9636,"Endotheliochorial","Labyrinthine","Carnivora"
"nasua_nasua",74.03,8650.5,"Endotheliochorial","Labyrinthine","Carnivora"
"natalus_tumidirostris",121.11,4590.07,"Endotheliochorial","Labyrinthine","Chiroptera"
"neofelis_nebulosa",93.13,7227,"Endotheliochorial","Labyrinthine","Carnivora"
"neotoma_albigula",36.22,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_floridana",35.53,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_fuscipes",32.13,304.17,"Hemochorial","Labyrinthine","Rodentia"
"neotoma_lepida",33,3832.5,"Hemochorial","Labyrinthine","Rodentia"
"neotragus_pygmaeus",188,5803.5,"Epitheliochorial","Villous","Artiodactyla"
"neovison_vison",36.22,4161,"Endotheliochorial","Labyrinthine","Carnivora"
"nomascus_gabriellae",207.59,16826.5,"Hemochorial","Villous","Primates"
"nycticebus_coucang",189.55,9672.5,"Epitheliochorial","Villous","Primates"
"nycticebus_pygmaeus",188,9672.5,"Epitheliochorial","Villous","Primates"
"ochotona_princeps",30.44,2670.58,"Hemochorial","Labyrinthine","Lagomorpha"
"octodon_degus",90.09,5110,"Hemochorial","Labyrinthine","Rodentia"
